Time,Signal,Inhibition
1.47,42.926,#N/A
1.474,38.643,#N/A
1.477,34.116,#N/A
1.48,29.584,#N/A
1.484,25.257,#N/A
1.487,21.295,#N/A
1.49,17.802,#N/A
1.494,14.824,#N/A
1.497,12.362,#N/A
1.5,10.381,5.79008
1.504,8.825,#N/A
1.507,7.629,#N/A
1.51,6.725,#N/A
1.514,6.054,#N/A
1.517,5.564,#N/A
1.52,5.212,#N/A
1.524,4.962,#N/A
1.527,4.787,#N/A
1.53,4.667,#N/A
1.534,4.588,#N/A
1.537,4.539,#N/A
1.54,4.511,#N/A
1.544,4.498,#N/A
1.547,4.495,#N/A
1.55,4.499,#N/A
1.554,4.509,#N/A
1.557,4.522,#N/A
1.56,4.54,#N/A
1.564,4.562,#N/A
1.567,4.588,#N/A
1.57,4.617,#N/A
1.574,4.648,#N/A
1.577,4.684,#N/A
1.58,4.724,#N/A
1.584,4.77,#N/A
1.587,4.821,#N/A
1.59,4.878,#N/A
1.594,4.94,#N/A
1.597,5.009,#N/A
1.6,5.084,#N/A
1.604,5.166,#N/A
1.607,5.254,#N/A
1.61,5.346,#N/A
1.614,5.442,#N/A
1.617,5.541,#N/A
1.62,5.644,#N/A
1.624,5.748,#N/A
1.627,5.853,#N/A
1.63,5.958,#N/A
1.634,6.06,#N/A
1.637,6.157,#N/A
1.64,6.249,#N/A
1.644,6.335,#N/A
1.647,6.415,#N/A
1.65,6.492,#N/A
1.654,6.565,#N/A
1.657,6.639,#N/A
1.66,6.714,#N/A
1.664,6.793,#N/A
1.667,6.878,#N/A
1.67,6.97,#N/A
1.674,7.073,#N/A
1.677,7.184,#N/A
1.68,7.305,#N/A
1.684,7.433,#N/A
1.687,7.565,#N/A
1.69,7.698,#N/A
1.694,7.828,#N/A
1.697,7.951,#N/A
1.7,8.062,#N/A
1.704,8.158,#N/A
1.707,8.237,#N/A
1.71,8.301,#N/A
1.714,8.349,#N/A
1.717,8.384,#N/A
1.72,8.409,#N/A
1.724,8.427,#N/A
1.727,8.442,#N/A
1.73,8.457,#N/A
1.734,8.475,#N/A
1.737,8.499,#N/A
1.74,8.527,#N/A
1.744,8.562,#N/A
1.747,8.602,#N/A
1.75,8.647,#N/A
1.754,8.7,#N/A
1.757,8.759,#N/A
1.76,8.827,#N/A
1.764,8.905,#N/A
1.767,8.993,-4.77789
1.77,9.093,#N/A
1.774,9.206,#N/A
1.777,9.332,#N/A
1.78,9.47,#N/A
1.784,9.616,#N/A
1.787,9.764,#N/A
1.79,9.906,#N/A
1.794,10.036,#N/A
1.797,10.149,#N/A
1.8,10.243,#N/A
1.804,10.322,#N/A
1.807,10.395,#N/A
1.81,10.476,#N/A
1.814,10.576,#N/A
1.817,10.708,#N/A
1.82,10.877,#N/A
1.824,11.082,#N/A
1.827,11.311,#N/A
1.83,11.547,#N/A
1.834,11.766,#N/A
1.837,11.942,#N/A
1.84,12.052,#N/A
1.844,12.079,#N/A
1.847,12.011,#N/A
1.85,11.85,#N/A
1.854,11.605,#N/A
1.857,11.297,#N/A
1.86,10.951,#N/A
1.864,10.593,#N/A
1.867,10.25,#N/A
1.87,9.944,#N/A
1.874,9.695,#N/A
1.877,9.514,#N/A
1.88,9.408,#N/A
1.884,9.376,#N/A
1.887,9.414,#N/A
1.89,9.518,#N/A
1.894,9.682,#N/A
1.897,9.902,3.23658
1.9,10.179,#N/A
1.904,10.522,#N/A
1.907,10.94,#N/A
1.91,11.444,#N/A
1.914,12.038,#N/A
1.917,12.712,#N/A
1.92,13.43,#N/A
1.924,14.138,#N/A
1.927,14.766,#N/A
1.93,15.241,#N/A
1.934,15.511,#N/A
1.937,15.552,#N/A
1.94,15.379,#N/A
1.944,15.037,#N/A
1.947,14.589,#N/A
1.95,14.103,#N/A
1.954,13.64,#N/A
1.957,13.24,#N/A
1.96,12.924,#N/A
1.964,12.693,#N/A
1.967,12.534,#N/A
1.97,12.428,#N/A
1.974,12.352,#N/A
1.977,12.291,#N/A
1.98,12.235,#N/A
1.984,12.18,#N/A
1.987,12.13,#N/A
1.99,12.091,#N/A
1.994,12.072,#N/A
1.997,12.08,#N/A
2,12.119,#N/A
2.004,12.194,#N/A
2.007,12.308,#N/A
2.01,12.46,#N/A
2.014,12.651,#N/A
2.017,12.873,#N/A
2.02,13.115,#N/A
2.024,13.356,#N/A
2.027,13.568,#N/A
2.03,13.723,-18.89371
2.034,13.793,#N/A
2.037,13.761,#N/A
2.04,13.621,#N/A
2.044,13.383,#N/A
2.047,13.067,#N/A
2.05,12.703,#N/A
2.054,12.32,#N/A
2.057,11.945,#N/A
2.06,11.6,#N/A
2.064,11.298,#N/A
2.067,11.046,#N/A
2.07,10.846,#N/A
2.074,10.694,#N/A
2.077,10.588,#N/A
2.08,10.526,#N/A
2.084,10.509,#N/A
2.087,10.537,#N/A
2.09,10.61,#N/A
2.094,10.721,#N/A
2.097,10.861,#N/A
2.1,11.011,#N/A
2.104,11.15,#N/A
2.107,11.253,#N/A
2.11,11.303,#N/A
2.114,11.289,#N/A
2.117,11.213,#N/A
2.12,11.087,#N/A
2.124,10.934,#N/A
2.127,10.781,#N/A
2.13,10.655,#N/A
2.134,10.576,#N/A
2.137,10.552,#N/A
2.14,10.58,#N/A
2.144,10.647,#N/A
2.147,10.731,#N/A
2.15,10.81,#N/A
2.154,10.865,#N/A
2.157,10.882,#N/A
2.16,10.859,#N/A
2.164,10.804,#N/A
2.167,10.728,#N/A
2.17,10.649,#N/A
2.174,10.581,#N/A
2.177,10.541,#N/A
2.18,10.539,#N/A
2.184,10.586,#N/A
2.187,10.686,#N/A
2.19,10.844,#N/A
2.194,11.06,#N/A
2.197,11.325,#N/A
2.2,11.63,#N/A
2.204,11.956,#N/A
2.207,12.286,#N/A
2.21,12.6,#N/A
2.214,12.881,#N/A
2.217,13.119,#N/A
2.22,13.306,#N/A
2.224,13.444,#N/A
2.227,13.541,#N/A
2.23,13.608,#N/A
2.234,13.662,#N/A
2.237,13.722,#N/A
2.24,13.806,#N/A
2.244,13.933,#N/A
2.247,14.117,#N/A
2.25,14.371,#N/A
2.254,14.697,#N/A
2.257,15.094,#N/A
2.26,15.553,#N/A
2.264,16.054,#N/A
2.267,16.571,#N/A
2.27,17.072,#N/A
2.274,17.517,#N/A
2.277,17.868,#N/A
2.28,18.094,#N/A
2.284,18.174,#N/A
2.287,18.109,#N/A
2.29,17.918,#N/A
2.294,17.638,#N/A
2.297,17.317,5.38836
2.3,17,#N/A
2.304,16.723,#N/A
2.307,16.506,#N/A
2.31,16.353,#N/A
2.314,16.252,#N/A
2.317,16.182,#N/A
2.32,16.124,#N/A
2.324,16.061,#N/A
2.327,15.984,#N/A
2.33,15.885,#N/A
2.334,15.759,#N/A
2.337,15.599,#N/A
2.34,15.401,#N/A
2.344,15.164,#N/A
2.347,14.894,#N/A
2.35,14.61,#N/A
2.354,14.334,#N/A
2.357,14.092,#N/A
2.36,13.905,#N/A
2.364,13.78,#N/A
2.367,13.71,#N/A
2.37,13.678,#N/A
2.374,13.658,#N/A
2.377,13.628,#N/A
2.38,13.571,#N/A
2.384,13.479,#N/A
2.387,13.352,#N/A
2.39,13.196,#N/A
2.394,13.02,#N/A
2.397,12.83,#N/A
2.4,12.631,#N/A
2.404,12.43,#N/A
2.407,12.23,#N/A
2.41,12.034,#N/A
2.414,11.847,#N/A
2.417,11.669,#N/A
2.42,11.498,#N/A
2.424,11.335,#N/A
2.427,11.176,#N/A
2.43,11.023,13.1801
2.434,10.876,#N/A
2.437,10.738,#N/A
2.44,10.612,#N/A
2.444,10.505,#N/A
2.447,10.424,#N/A
2.45,10.381,#N/A
2.454,10.389,#N/A
2.457,10.463,#N/A
2.46,10.615,#N/A
2.464,10.855,#N/A
2.467,11.184,#N/A
2.47,11.597,#N/A
2.474,12.084,#N/A
2.477,12.63,#N/A
2.48,13.218,#N/A
2.484,13.831,#N/A
2.487,14.45,#N/A
2.49,15.058,#N/A
2.494,15.637,#N/A
2.497,16.172,#N/A
2.5,16.653,#N/A
2.504,17.081,#N/A
2.507,17.463,#N/A
2.51,17.817,#N/A
2.514,18.164,#N/A
2.517,18.524,#N/A
2.52,18.912,#N/A
2.524,19.327,#N/A
2.527,19.757,#N/A
2.53,20.178,#N/A
2.534,20.562,#N/A
2.537,20.878,#N/A
2.54,21.098,#N/A
2.544,21.197,#N/A
2.547,21.15,#N/A
2.55,20.939,#N/A
2.554,20.554,#N/A
2.557,19.999,#N/A
2.56,19.293,#N/A
2.564,18.472,#N/A
2.567,17.583,#N/A
2.57,16.674,#N/A
2.574,15.795,#N/A
2.577,14.988,#N/A
2.58,14.286,#N/A
2.584,13.715,#N/A
2.587,13.289,#N/A
2.59,13.01,#N/A
2.594,12.869,#N/A
2.597,12.848,#N/A
2.6,12.919,#N/A
2.604,13.049,#N/A
2.607,13.205,#N/A
2.61,13.353,#N/A
2.614,13.469,#N/A
2.617,13.539,#N/A
2.62,13.56,#N/A
2.624,13.538,#N/A
2.627,13.486,#N/A
2.63,13.425,#N/A
2.634,13.377,#N/A
2.637,13.365,#N/A
2.64,13.413,#N/A
2.644,13.532,#N/A
2.647,13.723,#N/A
2.65,13.968,#N/A
2.654,14.231,#N/A
2.657,14.468,#N/A
2.66,14.631,#N/A
2.664,14.684,#N/A
2.667,14.609,#N/A
2.67,14.409,#N/A
2.674,14.104,#N/A
2.677,13.722,#N/A
2.68,13.298,#N/A
2.684,12.858,#N/A
2.687,12.426,#N/A
2.69,12.019,#N/A
2.694,11.649,#N/A
2.697,11.326,-0.76071
2.7,11.063,#N/A
2.704,10.873,#N/A
2.707,10.774,#N/A
2.71,10.785,#N/A
2.714,10.921,#N/A
2.717,11.19,#N/A
2.72,11.59,#N/A
2.724,12.106,#N/A
2.727,12.709,#N/A
2.73,13.363,#N/A
2.734,14.03,#N/A
2.737,14.678,#N/A
2.74,15.285,#N/A
2.744,15.842,#N/A
2.747,16.345,#N/A
2.75,16.795,#N/A
2.754,17.19,#N/A
2.757,17.524,#N/A
2.76,17.789,#N/A
2.764,17.972,#N/A
2.767,18.063,#N/A
2.77,18.054,#N/A
2.774,17.943,#N/A
2.777,17.735,#N/A
2.78,17.443,#N/A
2.784,17.083,#N/A
2.787,16.676,#N/A
2.79,16.241,#N/A
2.794,15.796,#N/A
2.797,15.355,#N/A
2.8,14.929,#N/A
2.804,14.532,#N/A
2.807,14.177,#N/A
2.81,13.878,#N/A
2.814,13.648,#N/A
2.817,13.501,#N/A
2.82,13.447,#N/A
2.824,13.491,#N/A
2.827,13.624,#N/A
2.83,13.829,0.37285
2.834,14.077,#N/A
2.837,14.338,#N/A
2.84,14.585,#N/A
2.844,14.797,#N/A
2.847,14.968,#N/A
2.85,15.102,#N/A
2.854,15.213,#N/A
2.857,15.325,#N/A
2.86,15.466,#N/A
2.864,15.672,#N/A
2.867,15.99,#N/A
2.87,16.486,#N/A
2.874,17.247,#N/A
2.877,18.379,#N/A
2.88,19.994,#N/A
2.884,22.181,#N/A
2.887,24.978,#N/A
2.89,28.348,#N/A
2.894,32.177,#N/A
2.897,36.291,#N/A
2.9,40.493,#N/A
2.904,44.608,#N/A
2.907,48.508,#N/A
2.91,52.121,#N/A
2.914,55.4,#N/A
2.917,58.289,#N/A
2.92,60.683,#N/A
2.924,62.424,#N/A
2.927,63.326,#N/A
2.93,63.239,#N/A
2.934,62.114,#N/A
2.937,60.058,#N/A
2.94,57.339,#N/A
2.944,54.345,#N/A
2.947,51.504,#N/A
2.95,49.192,#N/A
2.954,47.66,#N/A
2.957,47.008,#N/A
2.96,47.201,#N/A
2.964,48.11,#N/A
2.967,49.557,#N/A
2.97,51.335,#N/A
2.974,53.213,#N/A
2.977,54.93,#N/A
2.98,56.21,#N/A
2.984,56.79,#N/A
2.987,56.476,#N/A
2.99,55.187,#N/A
2.994,52.983,#N/A
2.997,50.056,#N/A
3,46.686,#N/A
3.004,43.185,#N/A
3.007,39.843,#N/A
3.01,36.887,#N/A
3.014,34.462,#N/A
3.017,32.629,#N/A
3.02,31.381,#N/A
3.024,30.658,#N/A
3.027,30.37,#N/A
3.03,30.412,#N/A
3.034,30.682,#N/A
3.037,31.095,#N/A
3.04,31.593,#N/A
3.044,32.148,#N/A
3.047,32.76,#N/A
3.05,33.44,#N/A
3.054,34.183,#N/A
3.057,34.95,#N/A
3.06,35.65,#N/A
3.064,36.149,#N/A
3.067,36.297,#N/A
3.07,35.966,#N/A
3.074,35.09,#N/A
3.077,33.685,#N/A
3.08,31.845,#N/A
3.084,29.723,#N/A
3.087,27.496,#N/A
3.09,25.331,#N/A
3.094,23.361,#N/A
3.097,21.675,-8.34165
3.1,20.316,#N/A
3.104,19.287,#N/A
3.107,18.57,#N/A
3.11,18.125,#N/A
3.114,17.914,#N/A
3.117,17.902,#N/A
3.12,18.076,#N/A
3.124,18.444,#N/A
3.127,19.043,#N/A
3.13,19.919,#N/A
3.134,21.105,#N/A
3.137,22.606,#N/A
3.14,24.385,#N/A
3.144,26.373,#N/A
3.147,28.487,#N/A
3.15,30.645,#N/A
3.154,32.764,#N/A
3.157,34.752,#N/A
3.16,36.485,#N/A
3.164,37.814,#N/A
3.167,38.582,#N/A
3.17,38.668,#N/A
3.174,38.023,#N/A
3.177,36.7,#N/A
3.18,34.845,#N/A
3.184,32.671,#N/A
3.187,30.408,#N/A
3.19,28.266,#N/A
3.194,26.4,#N/A
3.197,24.902,#N/A
3.2,23.802,#N/A
3.204,23.082,#N/A
3.207,22.693,#N/A
3.21,22.573,#N/A
3.214,22.659,#N/A
3.217,22.901,#N/A
3.22,23.282,#N/A
3.224,23.833,#N/A
3.227,24.652,7.22592
3.23,25.903,#N/A
3.234,27.789,#N/A
3.237,30.505,#N/A
3.24,34.173,#N/A
3.244,38.802,#N/A
3.247,44.271,#N/A
3.25,50.364,#N/A
3.254,56.812,#N/A
3.257,63.322,#N/A
3.26,69.576,#N/A
3.264,75.217,#N/A
3.267,79.828,#N/A
3.27,82.965,#N/A
3.274,84.227,#N/A
3.277,83.353,#N/A
3.28,80.309,#N/A
3.284,75.326,#N/A
3.287,68.868,#N/A
3.29,61.55,#N/A
3.294,54.023,#N/A
3.297,46.869,#N/A
3.3,40.526,#N/A
3.304,35.249,#N/A
3.307,31.122,#N/A
3.31,28.089,#N/A
3.314,26.003,#N/A
3.317,24.678,#N/A
3.32,23.924,#N/A
3.324,23.567,#N/A
3.327,23.46,#N/A
3.33,23.489,#N/A
3.334,23.574,#N/A
3.337,23.671,#N/A
3.34,23.772,#N/A
3.344,23.901,#N/A
3.347,24.096,#N/A
3.35,24.392,#N/A
3.354,24.81,#N/A
3.357,25.341,#N/A
3.36,25.948,-1.20618
3.364,26.566,#N/A
3.367,27.112,#N/A
3.37,27.505,#N/A
3.374,27.684,#N/A
3.377,27.625,#N/A
3.38,27.351,#N/A
3.384,26.927,#N/A
3.387,26.448,#N/A
3.39,26.02,#N/A
3.394,25.736,#N/A
3.397,25.652,#N/A
3.4,25.778,#N/A
3.404,26.073,#N/A
3.407,26.464,#N/A
3.41,26.863,#N/A
3.414,27.194,#N/A
3.417,27.414,#N/A
3.42,27.516,#N/A
3.424,27.523,#N/A
3.427,27.473,#N/A
3.43,27.396,#N/A
3.434,27.302,#N/A
3.437,27.175,#N/A
3.44,26.978,#N/A
3.444,26.669,#N/A
3.447,26.211,#N/A
3.45,25.589,#N/A
3.454,24.818,#N/A
3.457,23.941,#N/A
3.46,23.021,#N/A
3.464,22.128,#N/A
3.467,21.328,#N/A
3.47,20.67,#N/A
3.474,20.185,#N/A
3.477,19.885,#N/A
3.48,19.77,#N/A
3.484,19.852,#N/A
3.487,20.169,#N/A
3.49,20.81,#N/A
3.494,21.913,#N/A
3.497,23.649,#N/A
3.5,26.183,#N/A
3.504,29.63,#N/A
3.507,34.014,#N/A
3.51,39.255,#N/A
3.514,45.158,#N/A
3.517,51.425,#N/A
3.52,57.66,#N/A
3.524,63.392,#N/A
